nama_wilayah,kode_kemendagri
Jaten,3505012001
Salam,3505012002
Rejosari,3505012003
Kaliboto,3505012004
Wonodadi,3505012005
Tawangrejo,3505012006
Kebonagung,3505012007
Pikatan,3505012008
Gandekan,3505012009
Kunir,3505012010
Kolomayan,3505012011
Jati,3505022001
Temenggungan,3505022002
Besuki,3505022003
Tunjung,3505022004
Bakung,3505022005
Mangunan,3505022006
Karanggondang,3505022007
Ringinanom,3505022008
Sukorejo,3505022009
Slemanan,3505022010
Sumbersari,3505022011
Bendorejo,3505022012
Togogan,3505031004
Srengat,3505031007
Dandong,3505031009
Kauman,3505031010
Karanggayam,3505032001
Dermojayan,3505032002
Kerjen,3505032003
Pakisrejo,3505032005
Purwokerto,3505032006
Wonorejo,3505032008
Maron,3505032011
Bagelenan,3505032012
Kandangan,3505032013
Kendalrejo,3505032014
Selokajang,3505032015
Ngaglik,3505032016
Kademangan,3505041011
Panggungduwet,3505042001
Maron,3505042002
Pakisaji,3505042003
Kebonsari,3505042004
Bendosari,3505042005
Sumberjo,3505042006
Suruhwadang,3505042007
Plumpungrejo,3505042008
Jimbe,3505042009
Dawuhan,3505042010
Sumberjati,3505042012
Rejowinangun,3505042013
Plosorejo,3505042014
Darungan,3505042015
Pulerejo,3505052001
Tumpakoyot,3505052002
Plandirejo,3505052003
Sumberdadi,3505052004
Bakung,3505052005
Ngrejo,3505052006
Bululawang,3505052007
Kedungbanteng,3505052008
Sidomulyo,3505052009
Lorejo,3505052010
Tumpakkepuh,3505052011
Dadaplangu,3505062001
Langon,3505062002
Gembongan,3505062003
Ringinanyar,3505062004
Kebonduren,3505062005
Bacem,3505062006
Ponggok,3505062007
Pojok,3505062008
Kawedusan,3505062009
Jatilengger,3505062010
Bendo,3505062011
Sidorejo,3505062012
Maliran,3505062013
Candirejo,3505062014
Karangbendo,3505062015
Kalipucung,3505072001
Bendosari,3505072002
Sumber,3505072003
Sanankulon,3505072004
Sumberingin,3505072005
Purworejo,3505072006
Bendowulung,3505072007
Tuliskriyo,3505072008
Sumberjo,3505072009
Gledug,3505072010
Jeding,3505072011
Plosoarang,3505072012
Pasiraman,3505082001
Kaligrenjeng,3505082002
Tambakrejo,3505082003
Sumberboto,3505082004
Gununggede,3505082005
Wonotirto,3505082006
Ngeni,3505082007
Ngadipuro,3505082008
Nglegok,3505091009
Sumberasri,3505092001
Kedawung,3505092002
Ngoran,3505092003
Dayu,3505092004
Bangsri,3505092005
Kemloko,3505092006
Penataran,3505092007
Krenceng,3505092008
Jiwut,3505092010
Modangan,3505092011
Kanigoro,3505101008
Satreyan,3505101010
Minggirsari,3505102001
Jatinom,3505102002
Gogodeso,3505102003
Gaprang,3505102004
Papungan,3505102005
Tlogo,3505102006
Karangsono,3505102007
Banggle,3505102009
Sawentar,3505102011
Kuningan,3505102012
Sumberdiren,3505111002
Tawangsari,3505111003
Garum,3505111004
Bence,3505111006
Pojok,3505112001
Tingal,3505112005
Slorok,3505112007
Sidodadi,3505112008
Karangrejo,3505112009
Kedungbunder,3505121002
Kembangarum,3505121003
Kalipang,3505121004
Sutojayan,3505121005
Jingglong,3505121006
Sukorejo,3505121007
Jegu,3505121008
Pandanarum,3505122001
Bacem,3505122009
Sumberjo,3505122010
Kaulon,3505122011
Serang,3505132001
Kalitengah,3505132002
Margomulyo,3505132003
Panggungrejo,3505132004
Sumbersih,3505132005
Kaligambir,3505132006
Bumiayu,3505132007
Panggungasri,3505132008
Sumberagung,3505132009
Balerejo,3505132010
Talun,3505141008
Kamulan,3505141009
Bajang,3505141013
Kaweron,3505141014
Tumpang,3505142001
Kendalrejo,3505142002
Pasirharjo,3505142003
Jeblog,3505142004
Jabung,3505142005
Bendosewu,3505142006
Wonorejo,3505142007
Duren,3505142010
Sragi,3505142011
Jajar,3505142012
Sumberagung,3505152001
Gadungan,3505152002
Kotes,3505152003
Sukosewu,3505152004
Gondang,3505152005
Tambakan,3505152006
Gandusari,3505152007
Butun,3505152008
Ngaringan,3505152009
Soso,3505152010
Slumbung,3505152011
Semen,3505152012
Tulungrejo,3505152013
Krisik,3505152014
Kedungwungu,3505162001
Salamrejo,3505162002
Sumberkembar,3505162003
Binangun,3505162004
Rejoso,3505162005
Ngembul,3505162006
Sambigede,3505162007
Tawangrejo,3505162008
Umbuldamar,3505162009
Ngadri,3505162010
Birowo,3505162011
Sukorame,3505162012
Beru,3505171001
Babadan,3505171002
Tangkil,3505171003
Wlingi,3505171004
Klemunan,3505171006
Tembalang,3505172005
Ngadirenggo,3505172007
Tegalasri,3505172008
Balerejo,3505172009
Slorok,3505182001
Suru,3505182002
Plumbangan,3505182003
Sumberurip,3505182004
Genengan,3505182005
Doko,3505182006
Jambepawon,3505182007
Sidorejo,3505182008
Resapombo,3505182009
Kalimanis,3505182010
Siraman,3505192001
Kesamben,3505192002
Jugo,3505192003
Pagerwojo,3505192004
Pagergunung,3505192005
Tepas,3505192006
Kemirigede,3505192007
Tapakrejo,3505192008
Bumirejo,3505192009
Sukoanyar,3505192010
Purworejo,3505202001
Tulungrejo,3505202002
Sumberarum,3505202003
Ringinrejo,3505202004
Mojorejo,3505202005
Sukorejo,3505202006
Wates,3505202007
Tugurejo,3505202008
Banjarsari,3505212001
Pohgajih,3505212002
Selorejo,3505212003
Sumberagung,3505212004
Ngrendeng,3505212005
Sidomulyo,3505212006
Ampelgading,3505212007
Olak Alen,3505212008
Boro,3505212009
Ngreco,3505212010
Mandesan,3505222001
Jatitengah,3505222002
Jambewangi,3505222003
Selopuro,3505222004
Tegalrejo,3505222005
Ploso,3505222006
Popoh,3505222007
Mronjo,3505222008
